"income","age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","RowID"
"<=50K",28,"Private",338409,"Bachelors",13,"Married-civ-spouse","Prof-specialty","Wife","Black","Female",0,0,40,"Cuba","Row4"
"<=50K",37,"Private",284582,"Masters",14,"Married-civ-spouse","Exec-managerial","Wife","White","Female",0,0,40,"United-States","Row5"
"<=50K",49,"Private",160187,"9th",5,"Married-spouse-absent","Other-service","Not-in-family","Black","Female",0,0,16,"Jamaica","Row6"
">50K",31,"Private",45781,"Masters",14,"Never-married","Prof-specialty","Not-in-family","White","Female",14084,0,50,"United-States","Row8"
"<=50K",23,"Private",122272,"Bachelors",13,"Never-married","Adm-clerical","Own-child","White","Female",0,0,30,"United-States","Row12"
">50K",43,"Self-emp-not-inc",292175,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,45,"United-States","Row19"
"<=50K",54,"Private",302146,"HS-grad",9,"Separated","Other-service","Unmarried","Black","Female",0,0,20,"United-States","Row21"
"<=50K",59,"Private",109015,"HS-grad",9,"Divorced","Tech-support","Unmarried","White","Female",0,0,40,"United-States","Row24"
"<=50K",19,"Private",544091,"HS-grad",9,"Married-AF-spouse","Adm-clerical","Wife","White","Female",0,0,25,"United-States","Row37"
"<=50K",49,"Private",94638,"HS-grad",9,"Separated","Adm-clerical","Unmarried","White","Female",0,0,40,"United-States","Row43"
"<=50K",44,"Private",128354,"Masters",14,"Divorced","Exec-managerial","Unmarried","White","Female",0,0,40,"United-States","Row47"
"<=50K",25,"Private",32275,"Some-college",10,"Married-civ-spouse","Exec-managerial","Wife","Other","Female",0,0,40,"United-States","Row50"
"<=50K",18,"Private",226956,"HS-grad",9,"Never-married","Other-service","Own-child","White","Female",0,0,30,,"Row51"
">50K",47,"Private",51835,"Prof-school",15,"Married-civ-spouse","Prof-specialty","Wife","White","Female",0,1902,60,"Honduras","Row52"
"<=50K",28,"Private",183175,"Some-college",10,"Divorced","Adm-clerical","Not-in-family","White","Female",0,0,40,"United-States","Row66"
">50K",53,"Private",169846,"HS-grad",9,"Married-civ-spouse","Adm-clerical","Wife","White","Female",0,0,40,"United-States","Row67"
"<=50K",31,"Private",309974,"Bachelors",13,"Separated","Sales","Own-child","Black","Female",0,0,40,"United-States","Row71"
"<=50K",18,"Private",309634,"11th",7,"Never-married","Other-service","Own-child","White","Female",0,0,22,"United-States","Row78"
"<=50K",46,"Private",51618,"HS-grad",9,"Married-civ-spouse","Other-service","Wife","White","Female",0,0,40,"United-States","Row82"
