"income","workclass","education","capital-gain","capital-loss","hours-per-week"
"<=50K","State-gov","Bachelors",2174,0,40
"<=50K","Self-emp-not-inc","Bachelors",0,0,13
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","Masters",0,0,40
"<=50K","Private","9th",0,0,16
">50K","Self-emp-not-inc","HS-grad",0,0,45
">50K","Private","Masters",14084,0,50
">50K","Private","Bachelors",5178,0,40
">50K","Private","Some-college",0,0,80
">50K","State-gov","Bachelors",0,0,40
"<=50K","Private","Bachelors",0,0,30
"<=50K","Private","Assoc-acdm",0,0,50
">50K","Private","Assoc-voc",0,0,40
"<=50K","Private","7th-8th",0,0,45
"<=50K","Self-emp-not-inc","HS-grad",0,0,35
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",0,0,50
">50K","Self-emp-not-inc","Masters",0,0,45
">50K","Private","Doctorate",0,0,60
"<=50K","Private","HS-grad",0,0,20
"<=50K","Federal-gov","9th",0,0,40
"<=50K","Private","11th",0,2042,40
"<=50K","Private","HS-grad",0,0,40
">50K","Local-gov","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K",,"Some-college",0,0,60
"<=50K","Private","HS-grad",0,0,80
"<=50K","Private","HS-grad",0,0,40
"<=50K","Local-gov","Assoc-acdm",0,0,52
"<=50K","Private","Some-college",0,0,44
"<=50K","Private","Bachelors",0,1408,40
"<=50K","Federal-gov","Some-college",0,0,40
"<=50K","State-gov","Some-college",0,0,15
"<=50K","Private","11th",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,25
">50K","Private","Some-college",0,0,38
"<=50K","Self-emp-not-inc","Assoc-acdm",0,0,40
"<=50K","Private","9th",0,0,43
"<=50K","Self-emp-not-inc","Bachelors",0,0,40
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,35
">50K","Federal-gov","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,38
"<=50K","Private","Masters",0,0,40
"<=50K","State-gov","Assoc-voc",0,0,40
"<=50K","Private","Assoc-voc",0,0,43
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,30
">50K","Private","Prof-school",0,1902,60
">50K","Federal-gov","Bachelors",0,0,55
"<=50K","Self-emp-inc","HS-grad",0,0,60
">50K","Private","Some-college",0,0,40
"<=50K","Private","5th-6th",0,0,40
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Private","HS-grad",0,0,48
"<=50K","Private","HS-grad",5013,0,40
"<=50K","Private","Bachelors",2407,0,40
"<=50K",,"7th-8th",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Doctorate",0,0,45
"<=50K","Private","Some-college",0,0,58
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
">50K","Private","HS-grad",0,0,40
">50K","Self-emp-inc","Some-college",0,0,50
"<=50K",,"Some-college",0,0,40
"<=50K","Private","Some-college",0,0,32
"<=50K","Private","Bachelors",0,0,40
">50K","Self-emp-not-inc","Bachelors",0,0,70
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,20
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Assoc-acdm",0,0,40
"<=50K",,"10th",0,0,2
"<=50K","Private","11th",0,0,22
"<=50K","Local-gov","7th-8th",0,0,40
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,48
">50K","Private","HS-grad",14344,0,40
"<=50K","Private","HS-grad",0,0,35
">50K","Local-gov","HS-grad",0,0,40
"<=50K","Private","Masters",0,0,50
"<=50K","Private","9th",0,0,40
">50K","Federal-gov","Doctorate",0,0,50
"<=50K","Private","Assoc-voc",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,25
"<=50K","Private","HS-grad",0,1573,35
">50K","Local-gov","Bachelors",0,0,40
"<=50K","Local-gov","Some-college",0,0,50
">50K","Self-emp-not-inc","Doctorate",0,1902,60
">50K","Private","Some-college",0,0,48
"<=50K","Private","Assoc-acdm",0,0,40
"<=50K","Federal-gov","HS-grad",0,0,40
">50K","Private","Masters",0,0,40
">50K","Private","Bachelors",15024,0,60
"<=50K","Self-emp-not-inc","Masters",0,0,50
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Self-emp-inc","HS-grad",7688,0,40
"<=50K",,"10th",34095,0,32
"<=50K","Private","11th",0,0,40
"<=50K","Local-gov","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,40
">50K","Private","Prof-school",0,0,40
">50K","Self-emp-not-inc","HS-grad",0,1887,50
"<=50K","Private","Some-college",4064,0,25
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","9th",0,0,50
"<=50K","Self-emp-inc","Some-college",0,0,50
">50K","Local-gov","Assoc-voc",0,0,40
"<=50K","Private","Some-college",0,0,56
"<=50K","Private","HS-grad",0,0,41
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Bachelors",0,0,60
"<=50K","Private","Bachelors",0,0,40
">50K","State-gov","Bachelors",0,0,50
"<=50K","Private","Some-college",0,0,35
">50K","Private","Bachelors",0,0,40
"<=50K","Private","Some-college",0,1719,28
">50K","Private","Assoc-acdm",0,0,40
"<=50K",,"HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Assoc-acdm",0,0,60
"<=50K","Private","HS-grad",0,1762,40
"<=50K","Self-emp-not-inc","HS-grad",4386,0,35
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Assoc-acdm",0,0,36
">50K","Federal-gov","Masters",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,60
"<=50K","Private","Assoc-voc",0,0,35
"<=50K","Private","Some-college",0,0,20
">50K","Private","Some-college",0,0,40
"<=50K","Self-emp-inc","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,30
">50K","Private","Assoc-voc",0,1564,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","Some-college",0,0,24
"<=50K","Private","HS-grad",0,0,24
"<=50K","Private","11th",0,2179,40
"<=50K",,"Some-college",0,0,40
"<=50K","Local-gov","Some-college",0,0,38
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,35
">50K",,"HS-grad",0,0,45
"<=50K","Private","HS-grad",0,0,46
"<=50K","Private","Bachelors",0,0,40
"<=50K","Self-emp-not-inc","Some-college",0,1816,2
"<=50K","Private","HS-grad",0,0,60
"<=50K","Private","Bachelors",0,0,50
"<=50K",,"1st-4th",0,0,20
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-inc","Masters",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Self-emp-not-inc","Masters",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Federal-gov","Assoc-acdm",0,0,42
"<=50K","State-gov","Masters",0,0,40
"<=50K","Private","11th",0,0,16
"<=50K","Local-gov","Assoc-voc",0,0,20
"<=50K","Private","HS-grad",0,1980,40
"<=50K","State-gov","HS-grad",0,0,40
">50K","Private","Some-college",0,1977,40
"<=50K","Private","Bachelors",0,0,50
">50K","State-gov","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,25
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,12
"<=50K","Private","Bachelors",0,0,65
">50K","Local-gov","Some-college",0,0,38
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,45
">50K","Private","7th-8th",0,0,40
">50K","Federal-gov","Some-college",0,0,42
"<=50K","Private","HS-grad",0,0,40
"<=50K","Self-emp-not-inc","Bachelors",0,0,40
"<=50K",,"Bachelors",0,0,50
"<=50K","Private","Masters",0,0,50
">50K","State-gov","Doctorate",0,0,1
"<=50K","Private","Some-college",0,0,28
"<=50K","Private","Some-college",0,0,40
"<=50K","Local-gov","Bachelors",0,0,40
"<=50K","Private","Some-college",0,0,45
"<=50K","Federal-gov","Bachelors",0,0,24
"<=50K","Private","5th-6th",0,0,40
"<=50K","Private","Some-college",0,0,40
">50K","Federal-gov","Masters",14084,0,55
">50K","Private","Masters",7298,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K","Private","Masters",0,1876,40
"<=50K",,"HS-grad",0,0,40
">50K","Private","Bachelors",0,0,50
"<=50K","Local-gov","Some-college",0,1340,40
"<=50K","State-gov","HS-grad",0,0,35
"<=50K","Private","11th",0,0,40
">50K","Private","Bachelors",7298,0,36
"<=50K","Private","HS-grad",0,0,60
">50K","Self-emp-inc","HS-grad",15024,0,35
"<=50K","Private","11th",0,0,12
"<=50K","Local-gov","HS-grad",0,0,40
">50K","Private","HS-grad",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K","Private","HS-grad",0,0,40
">50K","Self-emp-inc","7th-8th",0,0,40
">50K","Private","Bachelors",0,0,60
"<=50K","Private","Assoc-acdm",0,0,40
"<=50K","Private","Bachelors",0,0,50
"<=50K","Private","Bachelors",0,0,55
"<=50K","Private","10th",0,0,40
"<=50K","Private","Some-college",0,0,40
"<=50K",,"1st-4th",0,0,40
"<=50K","Private","HS-grad",0,2206,40
"<=50K","Private","HS-grad",0,0,20
"<=50K","Local-gov","Preschool",0,0,35
"<=50K","Private","HS-grad",0,0,40
"<=50K",,"10th",0,0,10
"<=50K","Self-emp-not-inc","HS-grad",1409,0,50
"<=50K","Private","Assoc-voc",0,0,20
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","11th",3674,0,40
"<=50K","Private","HS-grad",0,0,38
"<=50K","Private","Some-college",0,0,42
"<=50K","Private","Some-college",0,0,40
">50K","Private","Prof-school",0,0,55
"<=50K","State-gov","HS-grad",0,0,40
"<=50K","State-gov","Some-college",0,0,38
">50K","Private","Bachelors",0,0,50
">50K","Local-gov","Masters",0,0,70
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Bachelors",0,0,40
"<=50K","Self-emp-not-inc","HS-grad",0,0,20
"<=50K","State-gov","Assoc-acdm",0,0,50
"<=50K",,"Some-college",0,0,20
"<=50K","Private","Some-college",0,1741,40
"<=50K","Private","HS-grad",0,0,35
">50K","Private","HS-grad",0,0,45
"<=50K","Private","HS-grad",0,0,34
">50K","Private","Assoc-acdm",0,1977,60
"<=50K","Private","HS-grad",0,0,40
">50K","Private","Prof-school",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Local-gov","10th",0,0,30
"<=50K","Local-gov","Some-college",0,0,40
"<=50K","Private","Some-college",0,0,20
">50K","Self-emp-not-inc","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,40
"<=50K","Private","HS-grad",0,0,30
"<=50K","Private","Assoc-voc",0,0,45
"<=50K","Private","7th-8th",0,0,40
"<=50K","Private","Bachelors",0,0,40
"<=50K","Private","HS-grad",0,0,60
"<=50K","Private","11th",0,0,12
"<=50K","Private","Some-college",4064,0,40
"<=50K","Private","11th",0,0,40
">50K","Self-emp-inc","Some-college",0,0,75
"<=50K",,"Some-college",0,0,24
">50K","Private","HS-grad",0,0,40
