"age","education","marital-status","occupation","relationship","race","sex","native-country"
39,"Bachelors","Never-married","Adm-clerical","Not-in-family","White","Male","United-States"
50,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
38,"HS-grad","Divorced","Handlers-cleaners","Not-in-family","White","Male","United-States"
53,"11th","Married-civ-spouse","Handlers-cleaners","Husband","Black","Male","United-States"
28,"Bachelors","Married-civ-spouse","Prof-specialty","Wife","Black","Female","Cuba"
37,"Masters","Married-civ-spouse","Exec-managerial","Wife","White","Female","United-States"
49,"9th","Married-spouse-absent","Other-service","Not-in-family","Black","Female","Jamaica"
52,"HS-grad","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
31,"Masters","Never-married","Prof-specialty","Not-in-family","White","Female","United-States"
42,"Bachelors","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
37,"Some-college","Married-civ-spouse","Exec-managerial","Husband","Black","Male","United-States"
30,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male","India"
23,"Bachelors","Never-married","Adm-clerical","Own-child","White","Female","United-States"
32,"Assoc-acdm","Never-married","Sales","Not-in-family","Black","Male","United-States"
40,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","Asian-Pac-Islander","Male",
34,"7th-8th","Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male","Mexico"
25,"HS-grad","Never-married","Farming-fishing","Own-child","White","Male","United-States"
32,"HS-grad","Never-married","Machine-op-inspct","Unmarried","White","Male","United-States"
38,"11th","Married-civ-spouse","Sales","Husband","White","Male","United-States"
43,"Masters","Divorced","Exec-managerial","Unmarried","White","Female","United-States"
40,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
54,"HS-grad","Separated","Other-service","Unmarried","Black","Female","United-States"
35,"9th","Married-civ-spouse","Farming-fishing","Husband","Black","Male","United-States"
43,"11th","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
59,"HS-grad","Divorced","Tech-support","Unmarried","White","Female","United-States"
56,"Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
19,"HS-grad","Never-married","Craft-repair","Own-child","White","Male","United-States"
54,"Some-college","Married-civ-spouse",,"Husband","Asian-Pac-Islander","Male","South"
39,"HS-grad","Divorced","Exec-managerial","Not-in-family","White","Male","United-States"
49,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
23,"Assoc-acdm","Never-married","Protective-serv","Not-in-family","White","Male","United-States"
20,"Some-college","Never-married","Sales","Own-child","Black","Male","United-States"
45,"Bachelors","Divorced","Exec-managerial","Own-child","White","Male","United-States"
30,"Some-college","Married-civ-spouse","Adm-clerical","Own-child","White","Male","United-States"
22,"Some-college","Married-civ-spouse","Other-service","Husband","Black","Male","United-States"
48,"11th","Never-married","Machine-op-inspct","Unmarried","White","Male","Puerto-Rico"
21,"Some-college","Never-married","Machine-op-inspct","Own-child","White","Male","United-States"
19,"HS-grad","Married-AF-spouse","Adm-clerical","Wife","White","Female","United-States"
31,"Some-college","Married-civ-spouse","Sales","Husband","White","Male",
48,"Assoc-acdm","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
31,"9th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","United-States"
53,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
24,"Bachelors","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
49,"HS-grad","Separated","Adm-clerical","Unmarried","White","Female","United-States"
25,"HS-grad","Never-married","Handlers-cleaners","Not-in-family","White","Male","United-States"
57,"Bachelors","Married-civ-spouse","Prof-specialty","Husband","Black","Male","United-States"
53,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","United-States"
44,"Masters","Divorced","Exec-managerial","Unmarried","White","Female","United-States"
41,"Assoc-voc","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
29,"Assoc-voc","Never-married","Prof-specialty","Not-in-family","White","Male","United-States"
25,"Some-college","Married-civ-spouse","Exec-managerial","Wife","Other","Female","United-States"
18,"HS-grad","Never-married","Other-service","Own-child","White","Female",
47,"Prof-school","Married-civ-spouse","Prof-specialty","Wife","White","Female","Honduras"
50,"Bachelors","Divorced","Exec-managerial","Not-in-family","White","Male","United-States"
47,"HS-grad","Divorced","Exec-managerial","Not-in-family","White","Male","United-States"
43,"Some-college","Married-civ-spouse","Tech-support","Husband","White","Male","United-States"
46,"5th-6th","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","Mexico"
35,"Assoc-voc","Married-civ-spouse","Other-service","Husband","White","Male","Puerto-Rico"
41,"HS-grad","Married-civ-spouse","Adm-clerical","Husband","White","Male","United-States"
30,"HS-grad","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","United-States"
30,"Bachelors","Married-civ-spouse","Sales","Husband","White","Male","United-States"
32,"7th-8th","Married-spouse-absent",,"Not-in-family","White","Male",
48,"HS-grad","Married-civ-spouse","Transport-moving","Husband","White","Male","United-States"
42,"Doctorate","Married-civ-spouse","Prof-specialty","Husband","White","Male","United-States"
29,"Some-college","Divorced","Tech-support","Not-in-family","White","Male","United-States"
36,"HS-grad","Married-civ-spouse","Craft-repair","Husband","White","Male","United-States"
28,"Some-college","Divorced","Adm-clerical","Not-in-family","White","Female","United-States"
53,"HS-grad","Married-civ-spouse","Adm-clerical","Wife","White","Female","United-States"
49,"Some-college","Married-civ-spouse","Exec-managerial","Husband","White","Male","United-States"
25,"Some-college","Never-married",,"Own-child","White","Male","United-States"
19,"Some-college","Never-married","Prof-specialty","Own-child","White","Male","United-States"
31,"Bachelors","Separated","Sales","Own-child","Black","Female","United-States"
